category,product_name,price_jod,product_url,image_url,sku,description,stock_status
WOODEN PRODUCTS,منظر  (اليوم العالمي للفن ) كبير,5.0,https://e-shop.psd.gov.jo/625mw6m12091.html,https://e-shop.psd.gov.jo/media/catalog/product/cache/6fe0f40091d9883a4caf18d72ffe3621/f/i/file_29.png,625MW6M12091,منظر  (اليوم العالمي للفن ) كبير القياسات: الطول:20*العرض:24سم,In stock
WOODEN PRODUCTS,منظر  (اليوم العالمي للإبداع والإبتكار ),5.0,https://e-shop.psd.gov.jo/625mw6m12090.html,https://e-shop.psd.gov.jo/media/catalog/product/cache/6fe0f40091d9883a4caf18d72ffe3621/_/9/_9873.png,625MW6M12090,منظر  (اليوم العالمي للإبداع والإبتكار ) القياسات: الطول:24*العرض:31سم,In stock
WOODEN PRODUCTS,منظر ( أيادي أزرق),5.0,https://e-shop.psd.gov.jo/625mw6m12089.html,https://e-shop.psd.gov.jo/media/catalog/product/cache/6fe0f40091d9883a4caf18d72ffe3621/_/8/_892.png,625MW6M12089,منظر ( أيادي أزرق) القياسات: الطول:23*العرض:30سم,In stock
WOODEN PRODUCTS,منظر ( لنرفع علمنا عالياً),5.0,https://e-shop.psd.gov.jo/625mw6m12088.html,https://e-shop.psd.gov.jo/media/catalog/product/cache/6fe0f40091d9883a4caf18d72ffe3621/_/7/_7892.png,625MW6M12088,منظر ( لنرفع علمنا عالياً) القياسات: الطول:19*العرض:30سم,In stock
WOODEN PRODUCTS,منظر  (اليوم الوطني للعلم الأردني أحمر ),5.0,https://e-shop.psd.gov.jo/625mw6m12087.html,https://e-shop.psd.gov.jo/media/catalog/product/cache/6fe0f40091d9883a4caf18d72ffe3621/_/8/_89999999992.png,625MW6M12087,منظر  (اليوم الوطني للعلم الأردني أحمر ) القياسات: الطول:22*العرض:30سم,In stock
WOODEN PRODUCTS,مدفع خشبي,5.0,https://e-shop.psd.gov.jo/2mw17621000.html,https://e-shop.psd.gov.jo/media/catalog/product/cache/6fe0f40091d9883a4caf18d72ffe3621/1/0/1000038280.jpg,2MW17621000,مدفع خشبي القياسات الطول15*العرض26سم,Out of stock
WOODEN PRODUCTS,فازا لون أسود,15.0,https://e-shop.psd.gov.jo/625mw1m230.html,https://e-shop.psd.gov.jo/media/catalog/product/cache/6fe0f40091d9883a4caf18d72ffe3621/1/0/1000038265.jpg,625MW1M230,فازا أسود القياسات الطول32*العرض26سم,Out of stock
WOODEN PRODUCTS,كوخ خشبي كبير,25.0,https://e-shop.psd.gov.jo/625mw1l125.html,https://e-shop.psd.gov.jo/media/catalog/product/cache/6fe0f40091d9883a4caf18d72ffe3621/p/h/photo_2024-02-27_10-28-54.jpg,625MW1L125,كوخ خشبي كبير ال قياسات: الطول55*العرض40سم*العمق 70سم,In stock
WOODEN PRODUCTS,صينية خشب (عين),5.0,https://e-shop.psd.gov.jo/2mw21226000.html,https://e-shop.psd.gov.jo/media/catalog/product/cache/6fe0f40091d9883a4caf18d72ffe3621/p/h/photoroom-____15_1.png,2MW21226000,صينية خشب (عين) القياسات: الطول 60,Out of stock
WOODEN PRODUCTS,صحن خشبي (يد و قلم),5.0,https://e-shop.psd.gov.jo/1mw22026000.html,https://e-shop.psd.gov.jo/media/catalog/product/cache/6fe0f40091d9883a4caf18d72ffe3621/p/h/photoroom-____16_1_1_1.png,1MW22026000,,Out of stock
